"table","column","datatype","transform","description"
,,,,
"timeframes","id","int",,"Timeframe id values, for linking to indicator tables."
"timeframes","name","str",,"Name"
"timeframes","firstyear","int",,"FirstYear"
"timeframes","twodigitfirstyear","int",,"TwoDigitFirstYear"
"timeframes","lastyear","int",,"LastYear"
"timeframes","twodigitlastyear","int",,"TwoDigitLastYear"
"timeframes","sortorder","int",,"SortOrder"
,,,,
"ind_descr","id","int",,"Indicator descriptions, a list of all of the indicators."
"ind_descr","datatype","str",,"Datatype"
"ind_descr","shortdescription","text",,"ShortDescription"
"ind_descr","fulldescription","text",,"FullDescription"
"ind_descr","geographiclevels","str",,"GeographicLevels"
"ind_descr","unlabeledshortdescription","text",,"UnlabeledShortDescription"
"ind_descr","availabledimensions","str",,"AvailableDimensions"
"ind_descr","modifydate","str",,"ModifyDate"
"ind_descr","valuelabelid","int",,"ValueLabelID"
"ind_descr","numeratordescription","text",,"NumeratorDescription"
"ind_descr","denominatordescription","text",,"DenominatorDescription"
"ind_descr","caveatsandlimitations","text",,"CaveatsAndLimitations"
"ind_descr","maxdecimal","int",,"MaxDecimal"
"ind_descr","trendissues","text",,"TrendIssues"
"ind_descr","modificationdate","str",,"ModificationDate"
"ind_descr","otherdatasource","str",,"OtherDataSource"
"ind_descr","minimumcachevalue","float",,"MinimumCacheValue"
"ind_descr","maximumcachevalue","float",,"MaximumCacheValue"
"ind_descr","isdevelopmental","str",,"isDevelopmental"
"ind_descr","showme","str",,"ShowMe"
,,,,
"locales","id","int",,"A list of all of the county, states and other geographic entities referenced in the indicators."
"locales","abbreviation","str",,"Abbreviation"
"locales","localelevelid","int",,"LocaleLevelID"
"locales","parentlocaleid","int",,"ParentLocaleID"
"locales","statefipscode","fips/state",,"StateFIPSCode"
"locales","countyfipscode","fips/county",,"CountyFIPSCode"
"locales","countyssacode","int",,"CountySSACode"
"locales","hrrcode","int",,"HRRCode"
"locales","fips_int","int",,"FIPS_int"
"locales","sortorder","int",,"SortOrder"
"locales","name","text",,"Name"
"locales","fullname","text",,"FullName"
"locales","gvid","gvid","^null_is_none;mk_gvid","GVid"
"locales","locale_level","str","^locale_level","Local Level"
,,,,
"indicator","id","int",,"A general indicator table. "
"indicator","indicatordescriptionid","int",,"IndicatorDescriptionID"
"indicator","timeframeid","int",,"TimeframeID"
"indicator","timeframe","str","^timeframe",
"indicator","localeid","int",,"LocaleID"
"indicator","locale_name","str","^locale_name",
"indicator","gvid","str","^locale_gvid",
"indicator","modifiergraphid","int",,"ModifierGraphID"
"indicator","dimensiongraphid","int",,"DimensionGraphID"
"indicator","dimensiongraphsortorder","int",,"DimensionGraphSortOrder"
"indicator","modifiergraphsortorder","int",,"ModifierGraphSortOrder"
"indicator","dimensiongraphlabel","str",,"DimensionGraphLabel"
"indicator","dimensiongraphheader","str",,"DimensionGraphHeader"
"indicator","textualvalue","text",,"TextualValue"
"indicator","floatvalue","float",,"FloatValue"
"indicator","formattedvalue","str",,"FormattedValue"
"indicator","graphvalue","str",,"GraphValue"
"indicator","numerator","int",,"Numerator"
"indicator","denominator","int",,"Denominator"
"indicator","confidenceintervallow","float",,"ConfidenceIntervalLow"
"indicator","confidenceintervallowformatted","str",,"ConfidenceIntervalLowFormatted"
"indicator","graphcilowvalue","float","^clean_float","GraphCILowValue"
"indicator","confidenceintervalhigh","float","^clean_float","ConfidenceIntervalHigh"
"indicator","confidenceintervalhighformatted","str",,"ConfidenceIntervalHighFormatted"
"indicator","graphcihighvalue","float","^clean_float","GraphCIHighValue"
"indicator","standarderror","float","^clean_float","StandardError"
"indicator","standarderrorformatted","float","^clean_float","StandardErrorFormatted"
"indicator","standarderrorgraphvalue","float","^clean_float","StandardErrorGraphValue"
"indicator","integraltarget","str",,"IntegralTarget"
"indicator","floattarget","str",,"FloatTarget"
"indicator","formattedtarget","str",,"FormattedTarget"
"indicator","fipscode","int",,"FIPSCode"
"indicator","ssacode","int",,"SSACode"
"indicator","hrrcode","int",,"HRRCode"
