table,position,source_header,dest_header,datatype,valuetype,start,width,size,summary,description
geofile,1,fileid,fileid,str,,1,6,,,Always equal to ACS Summary File identification 
geofile,2,stusab,stusab,str,,7,2,,,State Postal Abbreviation 
geofile,3,sumlevel,sumlevel,int,,9,3,,,Summary Level 
geofile,4,component,component,int,,12,2,,,Geographic Component 
geofile,5,logrecno,logrecno,int,,14,7,,,Logical Record Number 
geofile,6,us,us,unknown,,21,1,,,US  
geofile,7,region,region,unknown,,22,1,,,Census Region 
geofile,8,division,division,unknown,,23,1,,,Census Division 
geofile,9,statece,statece,unknown,,24,2,,,State (Census Code) 
geofile,10,state,state,int,,26,2,,,State (FIPS Code) 
geofile,11,county,county,int,,28,3,,,County of current residence 
geofile,12,cousub,cousub,int,,31,5,,,County Subdivision (FIPS) 
geofile,13,place,place,int,,36,5,,,Place (FIPS Code) 
geofile,14,tract,tract,int,,41,6,,,Census Tract 
geofile,15,blkgrp,blkgrp,int,,47,1,,,Block Group 
geofile,16,concit,concit,unknown,,48,5,,,Consolidated City 
geofile,17,aianhh,aianhh,int,,53,4,,,American Indian Area/Alaska Native Area/ Hawaiian Home Land (Census)
geofile,18,aianhhfp,aianhhfp,unknown,,57,5,,,American Indian Area/Alaska Native Area/ Hawaiian Home Land (FIPS) 
geofile,19,aihhtli,aihhtli,str,,62,1,,,American Indian Trust Land/ Hawaiian Home Land Indicator 
geofile,20,aitsce,aitsce,int,,63,3,,,American Indian Tribal Subdivision (Census)  
geofile,21,aits,aits,unknown,,66,5,,,American Indian Tribal Subdivision (FIPS) 
geofile,22,anrc,anrc,int,,71,5,,,Alaska Native Regional Corporation (FIPS) 
geofile,23,cbsa,cbsa,int,,76,5,,,Metropolitan and Micropolitan Statistical Area 
geofile,24,csa,csa,unknown,,81,3,,,Combined Statistical Area 
geofile,25,metdiv,metdiv,unknown,,84,5,,,Metropolitan Statistical Area- Metropolitan Division 
geofile,26,macc,macc,unknown,,89,1,,,Metropolitan Area Central City 
geofile,27,memi,memi,int,,90,1,,,Metropolitan/Micropolitan Indicator Flag  
geofile,28,necta,necta,unknown,,91,5,,,New England City and Town Area 
geofile,29,cnecta,cnecta,unknown,,96,3,,,New England City and Town Combined Statistical Area 
geofile,30,nectadiv,nectadiv,unknown,,99,5,,,New England City and Town Area Division 
geofile,31,ua,ua,unknown,,104,5,,,Urban Area 
geofile,33,cdcurr,cdcurr,int,,114,2,,,Current Congressional District *** 
geofile,34,sldu,sldu,str,,116,3,,,State Legislative District Upper 
geofile,35,sldl,sldl,int,,119,3,,,State Legislative District Lower 
geofile,39,submcd,submcd,unknown,,136,5,,,Subminor Civil Division (FIPS) 
geofile,40,sdelm,sdelm,int,,141,5,,,State-School District (Elementary) 
geofile,41,sdsec,sdsec,int,,146,5,,,State-School District (Secondary) 
geofile,42,sduni,sduni,int,,151,5,,,State-School District (Unified) 
geofile,43,ur,ur,str,,156,1,,,Urban/Rural 
geofile,44,pci,pci,str,,157,1,,,Principal City Indicator 
geofile,47,puma5,puma5,int,,169,5,,,Public Use Microdata Area 5% File 
geofile,49,geoid,geoid,str,,179,40,,,Geographic Identifier 
geofile,50,name,name,str,,219,200,,,Area Name 
